SmokingUsagePeriod,SmokingFrequency,Component1Damage,Component2Damage,Component3Damage
14,15,0.6081270734480351,0.9020037755288645,0.5877759176386039
3,5,0.3532266529616116,0.05164523701660173,0.1754376970258651
29,9,0.6111082415132728,0.18666731757519528,0.44754245562722506
3,1,0.23173015592511714,0.764873264079569,0.7515599390757604
7,15,0.9224472180372602,0.29574700647080276,0.6223313712717933
18,1,0.5480248769018388,0.1945333519161836,0.05841917535909247
20,17,0.9827969261436131,0.7867064858209362,0.6244007512959313
11,12,0.8788971929147378,0.9447172123787033,0.8239948431637961
28,3,0.32531561764686623,0.3659105203104963,0.3835286381208165
26,5,0.0386726247390804,0.38316426827578687,0.429104487563016
23,16,0.9654423147712563,0.6786196948147227,0.5906423873377462
2,11,0.42179475980614634,0.290227548959626,0.14916303275191944
1,2,0.9254262322763741,0.6061906281415808,0.6507195988137537
18,10,0.8147357919217074,0.5349032440961093,0.15242551606441446
16,14,0.6308438140846123,0.5039921394076378,0.805257309880674
10,9,0.3408118105579728,0.7794175417210172,0.7340074500407463
1,18,0.7746518037415685,0.5427045370666,0.055965233249009594
15,19,0.5245324287271411,0.34005201077582703,0.9865500962141055
1,8,0.5908634559242304,0.5396404336048758,0.8332821254402363
16,16,0.4299403916144302,0.8625962856285789,0.6263365118468412
26,17,0.031147079959182644,0.7729215101151786,0.7065892215332805
20,7,0.3317985496697521,0.8723665781534544,0.28284549360022826
15,3,0.258182013582099,0.2004452391927507,0.645448853130248
5,14,0.20192744177444244,0.9556831799080966,0.8625931332305113
1,16,0.5476053637923072,0.08839652499464679,0.5206223751984593
17,3,0.1745474012605136,0.31331376486995277,0.2624816236063746
5,14,0.21253777802388696,0.8179721324692787,0.8595767841963864
18,5,0.23371258297724096,0.5784023004541216,0.4576989130829088
24,8,0.4725461606155287,0.6319881496334051,0.8595867645614129
4,13,0.9718254074375557,0.9230767953867794,0.018340327050227367
3,16,0.5095682868673945,0.3338071756628389,0.09348205713828261
21,1,0.32290318167385235,0.5846975166447995,0.20083745599533354
8,4,0.5347082439825925,0.34630576420372505,0.5576314157736918
3,13,0.6249952830207728,0.9021785363274984,0.048553805898568614
21,18,0.6206582988500849,0.41480430584602324,0.31655149826638085
16,19,0.7206741864466464,0.5027695794502423,0.9607562618674024
25,18,0.46231262499050496,0.8739970466715495,0.9273001082538439
17,11,0.986447123860041,0.7875510860693998,0.6972729629444123
8,1,0.1832646407382712,0.02627697329894285,0.8338912792252017
10,14,0.039617836531644524,0.07764558938778476,0.04349874234734141
4,5,0.36652851881813553,0.09696449393147066,0.6262064098182507
29,11,0.4760143163336037,0.5784216197795452,0.24605768474598189
29,7,0.11957499777985658,0.2972516644475389,0.18182738547322386
21,14,0.4116556925811603,0.11652443934687207,0.3190180580407038
7,4,0.006139929632526631,0.5924893625566897,0.7003412469712035
2,4,0.05904901030085896,0.34601111418513986,0.3899496381858133
22,13,0.295298510602822,0.7822414690329434,0.3560538445752204
23,8,0.843433983240313,0.6944967939390272,0.8865357485409165
28,2,0.8419357258428815,0.5729750215263005,0.4030799800045606
3,8,0.6281836990519285,0.5365888550080198,0.6399996506004957
2,14,0.29793902762522995,0.5781632241599153,0.7809878043727903
13,11,0.4826842287279428,0.10999958970644519,0.5686752933940118
9,17,0.9297553113828042,0.3295317874731237,0.05984398437782601
4,15,0.07812066476405222,0.042383040877675304,0.9634642719751113
11,18,0.2563582611543166,0.14090390907662687,0.6541907737299577
6,19,0.05563207715484686,0.12171111141893187,0.9970722692140594
1,12,0.15218517604564508,0.39065956519536627,0.2546352209498097
12,4,0.1589050700160508,0.6048328826334181,0.41201958303783537
3,12,0.33634952864902823,0.13400250000290737,0.4790665467144485
27,1,0.7034934927747329,0.8053627213969222,0.9795350033209848
11,12,0.2923612487790451,0.8801862613334869,0.14448942081349248
23,9,0.5761918181800831,0.9247182522210311,0.2980895536960717
14,13,0.6638751112348134,0.4612324804832938,0.597702012637355
19,19,0.5740898495797042,0.8774514340711048,0.7403617317216308
5,5,0.029415065116601302,0.9053233344927051,0.7688605296267377
16,18,0.3800254072612467,0.42970451706430646,0.8928927380259016
12,10,0.10717148285855782,0.9907858326866702,0.7612578246443572
28,7,0.22814411241328114,0.07261827994632364,0.02786644620758949
13,17,0.6687164130303705,0.21298867943684796,0.15741495146346673
21,4,0.6025668086946916,0.556036841014611,0.7078489518725617
7,6,0.24041599133228964,0.005694564639689981,0.9744480259411064
14,19,0.2803672208223533,0.3349931196656496,0.1006428936444701
20,8,0.186813933137,0.646329039237524,0.09322581442244904
27,13,0.40339956164604795,0.9756921974528047,0.9517794682292278
17,10,0.145740167738173,0.8334763854823718,0.8280985695768415
7,6,0.8438175479538453,0.9231848686776428,0.08562972188763207
15,14,0.18578014476650684,0.037662283007665276,0.6332349887534559
21,17,0.13675452288508205,0.07127100895884364,0.17481364985324033
8,19,0.233120377812028,0.8028289606973943,0.2583843456419018
12,14,0.3657137088131883,0.5703018962009377,0.796407248812477
23,3,0.8131744929420555,0.40070036842548695,0.5831451657727491
8,17,0.9142887865604346,0.6401782539581317,0.4669641936309037
2,2,0.5563997738806229,0.16250659409595036,0.04307758691218855
12,2,0.7966156112496982,0.22579533196799217,0.4356787329679216
27,1,0.6954975728054755,0.9794635590507735,0.3966198732344195
6,15,0.05446812670152035,0.7142069923697506,0.5710790956474855
24,3,0.7331051145201861,0.9784993899664827,0.2783938296733566
26,10,0.8655549930200309,0.8578597755563829,0.02106695812027981
19,4,0.6357289120098585,0.39207217193981525,0.405964372599004
21,15,0.1594783305317402,0.9421167885075927,0.11598790987981611
25,4,0.9921730410316997,0.14274542539230328,0.1863906891932331
18,7,0.808162671441559,0.215409303250642,0.09947410113943722
13,12,0.4210098202706519,0.06721055839305112,0.7840016599502972
19,5,0.7874012554216002,0.4248759829340344,0.5341142360714711
18,16,0.527633494652292,0.6837695541134544,0.01935369972530132
2,9,0.7399272759351987,0.3457950929700221,0.9351726420143429
20,7,0.7447843838125355,0.6464109623735544,0.43446047449772884
13,5,0.7554158397201574,0.5056647710076566,0.20941173373853383
22,17,0.023969303015248578,0.8723892262909578,0.37782693152412805
10,17,0.011211792151214595,0.3067066169279833,0.26930808304251197
17,17,0.9847044121898162,0.8759003536672727,0.6158873397518023
25,6,0.7410396564400565,0.6334086749745738,0.0006456832591302808
28,16,0.8268062667428185,0.6665927516319434,0.5869074610819978
18,9,0.13121521358284438,0.19532944736642333,0.6355301913301583
23,1,0.3189983462684818,0.1744189292771926,0.8424549608667918
4,9,0.9890584497060334,0.28022480707713227,0.2137003155699294
4,18,0.03632020120266055,0.898237850431725,0.5675855062308405
12,7,0.6947977632234102,0.8205861443105813,0.48801791421051355
22,12,0.16460129820040847,0.7989059741084028,0.15155762690497376
26,5,0.37602470738666427,0.022149465521072553,0.40560944600477533
8,8,0.9225908749494834,0.7476032879777325,0.8868281748473682
10,19,0.48843990406749516,0.3145561905554889,0.8827839140166874
3,13,0.7549301952760622,0.9911348424081804,0.4249416612822049
4,6,0.07207293172936391,0.1545104625704833,0.7841839250681547
12,5,0.37337211201001086,0.5524354151682027,0.9570673953708507
4,7,0.015350375887343337,0.7493964003134151,0.26501611912579126
20,4,0.8790138408270061,0.8086019865898392,0.6448413263333665
25,17,0.7376212645374342,0.9089026259930159,0.6516346345727552
7,5,0.1299861283680861,0.44442605903100885,0.2999160937433911
10,10,0.4407586453143032,0.5603782802308382,0.8430572101707972
24,10,0.1215374043426366,0.36458470195362536,0.6498905930228907
15,17,0.5793594335428872,0.22675426768773643,0.8849878059204843
7,3,0.8980775273818674,0.982807750564314,0.866964884159522
20,8,0.9680263873109751,0.052940576049068655,0.5161170894815352
26,17,0.4690956978905457,0.2694164893707961,0.703238820660938
7,7,0.8288329328397668,0.38068209751481574,0.12270739838327827
13,2,0.7682911609247891,0.2029453299496352,0.9600588755089681
23,6,0.01240872879797661,0.26051087578502397,0.4288058261456579
28,16,0.1720181862241269,0.12101663106729665,0.32506679499579405
7,10,0.22388380080128278,0.47480764981157486,0.27983340787343247
18,17,0.09005544028228529,0.6979039695255724,0.3584379227899127
15,9,0.2832730351684596,0.1453256854725512,0.5292383181094228
11,11,0.34102082476691364,0.6491243011752202,0.47112473055262205
4,16,0.42730425841427266,0.10892940786028438,0.3786211468111167
21,14,0.9161892167701998,0.5345032400996038,0.39711225905597225
4,12,0.5135188176778572,0.7136303198622386,0.5053577371101398
2,3,0.1361662917491545,0.6620225890794624,0.6268754435065177
16,11,0.48978154022715426,0.7021934638397588,0.1655592804542848
14,15,0.5135705679047814,0.74194425160518,0.5806556222452824
17,14,0.311994584180463,0.6207544325501119,0.9375308482448714
6,17,0.5963372241047304,0.7488270596911772,0.9753804468219592
9,4,0.30680492674014537,0.0756012672579297,0.933286766148449
14,3,0.28211322708858777,0.15862371828442123,0.23520309985972943
23,4,0.87412161182565,0.26657087054343676,0.13766283560642956
15,7,0.4066364073338128,0.5037146042547948,0.3982616260483943
16,19,0.5092080100031136,0.6081225244407709,0.7298513379726711
28,15,0.6172908058533367,0.4502942234364098,0.3184613472141278
9,9,0.6178030720964578,0.09026046616896333,0.4754614066556426
26,5,0.6155994514983139,0.9869280013799575,0.4774792569539704
14,13,0.7661881941261661,0.19076543468004192,0.03339179021547822
18,17,0.2835411071391605,0.6030697421272412,0.923309136267327
1,1,0.793868756801479,0.9053620482654811,0.09862374229189963
4,12,0.5414527527127249,0.653594980167506,0.0761684044088935
2,16,0.8914255527401104,0.4705414775387392,0.5738032847275254
20,5,0.9365514036901131,0.7991706372446166,0.3890597121700924
5,12,0.06802490993871169,0.4289899767309364,0.6055213043374383
8,18,0.4215791720870905,0.7648725496106308,0.44295266605844896
7,13,0.8800100512928344,0.25612903079209204,0.5633586827360842
29,19,0.4606951342252513,0.5103316720328664,0.329535025359438
2,18,0.9108431589049236,0.31707919393194184,0.3634675238463666
21,5,0.016499490565757502,0.3586648989478064,0.719634845745487
13,2,0.5476922298737125,0.44132274389317505,0.4251644657989262
4,13,0.2922291304823592,0.10414492925493657,0.828664275677954
